n	RL	XL	|ZL|	Phi
1000	1451.56358	-14533.40476	14605.71432	-84.29634
2000	1107.16881	-7289.74607	7373.34527	-81.36390
3000	1015.17514	-4881.34829	4985.79399	-78.25165
4000	988.24730	-3690.51095	3820.53711	-75.00901
5000	952.63264	-2917.57003	3069.15686	-71.91732
6000	945.84667	-2442.51614	2619.25772	-68.83147
7000	944.32161	-2114.25933	2315.56382	-65.93235
8000	940.00732	-1857.94353	2082.20267	-63.16334
9000	937.45217	-1655.18009	1902.21915	-60.47388
10000	927.90192	-1483.58514	1749.86480	-57.97626
11000	999.38305	-1453.94803	1764.29344	-55.49700
12000	927.09341	-1247.03211	1553.89551	-53.37142
13000	917.48686	-1138.07345	1461.84586	-51.12509
14000	925.51784	-1073.23023	1417.18256	-49.22662
15000	930.97483	-1007.90075	1372.07072	-47.27205
16000	922.95085	-943.85966	1320.11717	-45.64170
17000	910.82344	-874.97719	1263.00611	-43.85006
18000	975.15854	-891.67098	1321.36721	-42.43935
19000	922.50378	-798.01385	1219.77020	-40.86151
20000	919.51777	-763.85960	1195.40554	-39.71701
21000	912.64267	-719.94893	1162.42982	-38.26856
22000	961.35880	-724.36068	1203.70642	-36.99714
23000	918.43266	-667.94054	1135.63335	-36.02695
24000	906.56168	-627.97654	1102.81849	-34.71040
25000	917.66058	-616.98242	1105.78852	-33.91463
26000	922.66104	-596.50982	1098.69348	-32.88308
27000	913.86396	-569.98543	1077.04723	-31.95217
28000	908.00047	-551.08807	1062.15014	-31.25460
29000	925.67830	-539.54708	1071.44359	-30.23649
30000	911.99220	-519.19352	1049.42445	-29.65269
31000	906.61438	-499.62147	1035.16726	-28.85849
32000	919.93846	-492.13517	1043.30427	-28.14524
33000	914.60631	-479.43711	1032.64933	-27.66355
34000	906.78631	-459.38938	1016.51365	-26.86735
35000	909.45111	-451.64401	1015.42289	-26.40953
36000	971.24993	-470.09276	1079.03365	-25.82735
37000	909.78511	-428.82471	1005.78307	-25.23672
38000	905.33679	-419.42141	997.77203	-24.85719
39000	916.09503	-412.11391	1004.52376	-24.22104
40000	909.19485	-402.70558	994.38778	-23.88977
41000	901.78572	-390.29955	982.62466	-23.40332
42000	915.74293	-387.92538	994.52060	-22.95840
43000	969.10341	-404.76984	1050.23809	-22.66905
44000	953.77153	-387.38009	1029.43842	-22.10483
45000	931.52008	-371.53521	1002.87989	-21.74450
46000	916.03951	-362.05605	984.99389	-21.56595
47000	970.73033	-375.07287	1040.67143	-21.12564
48000	904.32118	-341.33757	966.59616	-20.67910
49000	909.12771	-340.54160	970.81501	-20.53498
50000	909.94253	-336.15947	970.05082	-20.27571
51000	905.35875	-326.58731	962.46233	-19.83574
52000	912.94606	-325.48661	969.23271	-19.62234
53000	907.76056	-320.61106	962.71527	-19.45266
54000	909.37091	-314.85664	962.33579	-19.09768
55000	916.28995	-312.52328	968.12089	-18.83321
56000	899.57737	-304.90065	949.84412	-18.72346
57000	910.62878	-303.21661	959.78388	-18.41647
58000	915.37511	-300.15917	963.33126	-18.15475
59000	899.91341	-292.68900	946.31443	-18.01666
60000	908.77039	-292.80382	954.77625	-17.85883
61000	914.93424	-289.35436	959.59919	-17.54992
62000	901.99276	-282.57554	945.21949	-17.39469
63000	909.54032	-283.03074	952.55970	-17.28510
64000	913.64640	-279.96329	955.57793	-17.03633
65000	906.17715	-274.57935	946.86369	-16.85725
66000	906.08179	-273.48202	946.45477	-16.79535
67000	909.94061	-271.53210	949.59022	-16.61544
68000	905.45161	-265.69990	943.63078	-16.35404
69000	907.39366	-265.42548	945.41734	-16.30494
70000	905.23397	-262.51679	942.53043	-16.17210
71000	905.88166	-259.23775	942.24508	-15.96963
72000	911.94378	-258.75248	947.94214	-15.84062
73000	905.79354	-256.05720	941.29019	-15.78497
74000	907.11149	-253.27755	941.80718	-15.60044
75000	911.33245	-252.29136	945.60973	-15.47411
76000	903.09696	-249.39906	936.90128	-15.43801
77000	909.71608	-248.89128	943.14910	-15.30124
78000	916.96825	-247.81748	949.86540	-15.12332
79000	914.12662	-246.61227	946.80784	-15.09778
80000	910.77359	-243.78631	942.83630	-14.98505
81000	914.67014	-241.71479	946.06951	-14.80284
82000	904.03583	-238.04636	934.85124	-14.75199
83000	907.42567	-238.66321	938.28646	-14.73571
84000	913.00367	-236.55083	943.15004	-14.52541
85000	931.32668	-240.13998	961.78822	-14.45862
86000	909.96042	-234.86500	939.78164	-14.47245
87000	908.95877	-232.08497	938.12019	-14.32334
88000	904.67868	-229.11474	933.24010	-14.21166
89000	912.15799	-230.48977	940.82821	-14.18101
90000	909.17960	-228.94829	937.56325	-14.13427
91000	901.64808	-224.39654	929.15179	-13.97549
92000	939.80966	-233.73076	968.43806	-13.96612
93000	933.02918	-231.35145	961.28401	-13.92604
94000	903.84819	-222.63565	930.86421	-13.83761
95000	936.52910	-228.62012	964.03004	-13.71842
96000	903.19447	-221.52864	929.96515	-13.78102
97000	903.47448	-219.28749	929.70594	-13.64277
98000	909.65120	-219.69427	935.80494	-13.57777
99000	897.53875	-216.88671	923.37190	-13.58488
100000	907.37413	-217.68162	933.12008	-13.49047
