n	RL			XL		|ZL|	Phi		
1000	1405.37159	991	-41.81348032	-15552.67209	-15592.7249	15616.03914	-84.83666		10.2332861
2000	1127.36344		-13.76018567	-7811.77611	-7796.362452	7892.70514	-81.78801		10.18686025
3000	1043.62948		-5.310744702	-5107.36592	-5197.574968	5212.90218	-78.45127		10.38728153
4000	1015.27499		-2.449544904	-3843.6305	-3898.181226	3975.45956	-75.20357		10.35186285
5000	1017.69508		-2.693751766	-3147.1344	-3118.544981	3307.591	-72.08025		10.11427685
6000	1011.25396		-2.043790111	-2639.90411	-2598.787484	2826.9645	-69.03993		10.04802551
7000	981.71914		0.936514632	-2212.27105	-2227.532129	2420.31313	-66.07023		10.27741173
8000	976.32945		1.480378406	-1939.59168	-1949.090613	2171.45921	-63.28075		10.25698764
9000	974.01333		1.714093845	-1729.24569	-1732.524989	1984.68955	-60.60922		10.22635631
10000	972.27224		1.889784057	-1559.98555	-1559.27249	1838.1698	-58.06648		10.20233444
11000	971.24172	5.156330979	1.993771948	-1414.85527	-1417.520446	1716.13691	-55.53195		10.22622702
12000	968.3237		2.288224016	-1305.34213	-1299.393742	1625.29039	-53.43138		10.16048714
13000	965.99554		2.52315439	-1200.29514	-1199.440377	1540.73223	-51.17295		10.19973132
14000	965.95257		2.527490414	-1123.82678	-1113.766065	1481.90789	-49.32025		10.11562495
15000	969.80143		2.139108981	-1052.75046	-1039.514994	1431.36241	-47.3485		10.07867481
16000	961.17367		3.009720484	-984.40454	-974.5453065	1375.82961	-45.6841		10.10477252
17000	956.94724		3.436201816	-922.24575	-917.219112	1329.01664	-43.94209		10.15136744
18000	958.07414		3.322488396	-878.13205	-866.2624946	1299.62377	-42.50711		10.06903379
19000	960.82395		3.045010091	-833.33545	-820.6697318	1271.86109	-40.93554		10.05186561
20000	964.46289		2.677811302	-798.61491	-779.6362452	1252.18786	-39.62615		9.964435994
21000	959.34077		3.194675076	-757.60778	-742.5107097	1222.41738	-38.29875		10.00360215
22000	968.13839		2.30692331	-728.2591	-708.7602229	1211.4674	-36.95145		9.933711223
23000	954.88116		3.644686176	-696.83876	-677.944561	1182.10926	-36.12066		9.930245749
24000	958.63242		3.26615338	-663.85258	-649.696871	1166.05161	-34.70259		9.989350289
25000	956.09713		3.521984864	-643.72119	-623.7089961	1152.60517	-33.9516		9.889681779
26000	955.19952		3.612561049	-619.10698	-599.7201886	1138.288	-32.94905		9.887376758
27000	959.02491		3.226547931	-597.70868	-577.5083298	1130.03736	-31.93307		9.862041023
28000	951.28621		4.007446014	-578.27274	-556.8830323	1113.25864	-31.2948		9.829453677
29000	956.5507		3.476215943	-558.11354	-537.6801691	1107.46555	-30.26205		9.833306474
30000	956.9189		3.439061554	-545.17403	-519.7574968	1101.32125	-29.67095		9.731139926
31000	950.14506		4.122597376	-524.33028	-502.9911259	1085.2179	-28.89177		9.791596286
32000	961.29041		2.997940464	-513.99131	-487.2726532	1090.07629	-28.13292		9.676412567
33000	970.88589		2.029678103	-509.0161	-472.5068153	1096.22844	-27.66713		9.47490082
34000	955.67133		3.564951564	-484.37999	-458.609556	1071.41573	-26.87807		9.663957708
35000	955.42719		3.589587286	-474.71626	-445.5064258	1066.86299	-26.42107		9.578951621
36000	953.84851		3.748889001	-462.03021	-433.1312473	1059.85796	-25.84487		9.568574837
37000	976.26423		1.486959637	-459.81235	-421.4249974	1079.12893	-25.22005		9.354870413
38000	968.24884		2.295778002	-448.72968	-410.3348659	1067.17578	-24.86511		9.333654899
39000	974.27007		1.68818668	-438.33814	-399.8134591	1068.33632	-24.22367		9.309926754
