n	RL	XL	|ZL|	Phi
1000	1448.92774	-15421.35313	15489.27126	-84.63248
2000	1091.65387	-7283.76687	7365.11833	-81.47624
3000	1062.13991	-5215.96391	5323.00861	-78.49008
4000	1039.29146	-3949.65995	4084.10828	-75.25770
5000	1005.07776	-3121.80726	3279.61306	-72.15384
6000	994.21636	-2607.10304	2790.24236	-69.12570
7000	989.49965	-2241.76480	2450.43240	-66.18366
8000	923.66330	-1843.86329	2062.27683	-63.39192
9000	922.67971	-1642.68361	1884.07730	-60.67749
10000	922.32544	-1484.81907	1747.96221	-58.15268
11000	923.42767	-1350.51105	1636.03140	-55.63718
12000	918.06582	-1245.92552	1547.63537	-53.61519
13000	967.06428	-1210.14540	1549.08528	-51.37058
14000	971.98576	-1139.67340	1497.86908	-49.54035
15000	913.63040	-997.45328	1352.63948	-47.51147
16000	966.15881	-996.56180	1388.01955	-45.88745
17000	963.22940	-934.56842	1342.09873	-44.13477
18000	961.92456	-887.40421	1308.73416	-42.69246
19000	908.41206	-793.21926	1205.98891	-41.12724
20000	911.62543	-759.07991	1186.28126	-39.78301
