n	RL	XL	|ZL|	Phi
1000	1405.37159	-15552.67209	15616.03914	-84.83666
2000	1127.36344	-7811.77611	7892.70514	-81.78801
3000	1043.62948	-5107.36592	5212.90218	-78.45127
4000	1015.27499	-3843.63050	3975.45956	-75.20357
5000	1017.69508	-3147.13440	3307.59100	-72.08025
6000	1011.25396	-2639.90411	2826.96450	-69.03993
7000	981.71914	-2212.27105	2420.31313	-66.07023
8000	976.32945	-1939.59168	2171.45921	-63.28075
9000	974.01333	-1729.24569	1984.68955	-60.60922
10000	972.27224	-1559.98555	1838.16980	-58.06648
11000	971.24172	-1414.85527	1716.13691	-55.53195
12000	968.32370	-1305.34213	1625.29039	-53.43138
13000	965.99554	-1200.29514	1540.73223	-51.17295
14000	965.95257	-1123.82678	1481.90789	-49.32025
15000	969.80143	-1052.75046	1431.36241	-47.34850
16000	961.17367	-984.40454	1375.82961	-45.68410
17000	956.94724	-922.24575	1329.01664	-43.94209
18000	958.07414	-878.13205	1299.62377	-42.50711
19000	960.82395	-833.33545	1271.86109	-40.93554
20000	964.46289	-798.61491	1252.18786	-39.62615
21000	959.34077	-757.60778	1222.41738	-38.29875
22000	968.13839	-728.25910	1211.46740	-36.95145
23000	954.88116	-696.83876	1182.10926	-36.12066
24000	958.63242	-663.85258	1166.05161	-34.70259
25000	956.09713	-643.72119	1152.60517	-33.95160
26000	955.19952	-619.10698	1138.28800	-32.94905
27000	959.02491	-597.70868	1130.03736	-31.93307
28000	951.28621	-578.27274	1113.25864	-31.29480
29000	956.55070	-558.11354	1107.46555	-30.26205
30000	956.91890	-545.17403	1101.32125	-29.67095
31000	950.14506	-524.33028	1085.21790	-28.89177
32000	961.29041	-513.99131	1090.07629	-28.13292
33000	970.88589	-509.01610	1096.22844	-27.66713
34000	955.67133	-484.37999	1071.41573	-26.87807
35000	955.42719	-474.71626	1066.86299	-26.42107
36000	953.84851	-462.03021	1059.85796	-25.84487
37000	976.26423	-459.81235	1079.12893	-25.22005
38000	968.24884	-448.72968	1067.17578	-24.86511
39000	974.27007	-438.33814	1068.33632	-24.22367
40000	970.53802	-429.78423	1061.44172	-23.88524
41000	948.87135	-409.66108	1033.52748	-23.35155
42000	956.36256	-403.96864	1038.18111	-22.89925
43000	967.51007	-404.18049	1048.54070	-22.67289
44000	956.62317	-388.07790	1032.34314	-22.08115
45000	944.93621	-376.49495	1017.17888	-21.72403
46000	946.03747	-374.20267	1017.35664	-21.58115
47000	976.89883	-377.32756	1047.23799	-21.11907
48000	946.52673	-357.63067	1011.83623	-20.69831
49000	942.43038	-353.64543	1006.59829	-20.56852
50000	950.56359	-350.01909	1012.95830	-20.21485
51000	947.83500	-341.31809	1007.41710	-19.80409
52000	953.47047	-339.44232	1012.09043	-19.59609
53000	965.51571	-340.62316	1023.83823	-19.43227
54000	946.77439	-326.68616	1001.55159	-19.03708
55000	954.85673	-324.85283	1008.60336	-18.78887
56000	942.44280	-319.10627	995.00112	-18.70584
57000	947.51695	-314.99150	998.50288	-18.38881
58000	979.54859	-319.85288	1030.44714	-18.08346
59000	963.10316	-313.51369	1012.84675	-18.03134
60000	952.87951	-305.37381	1000.61608	-17.76934
61000	956.27162	-300.88750	1002.49125	-17.46600
62000	963.45806	-302.02233	1009.68754	-17.40503
63000	965.47370	-300.98643	1011.30228	-17.31487
64000	949.75361	-290.41917	993.16424	-17.00278
65000	970.28423	-293.28078	1013.63954	-16.81811
66000	963.91679	-290.90809	1006.85803	-16.79371
67000	975.27335	-289.16472	1017.23859	-16.51488
68000	972.66358	-284.81279	1013.50519	-16.32095
69000	949.83330	-277.41006	989.51485	-16.28107
70000	951.31644	-274.51269	990.13140	-16.09607
71000	943.66052	-269.10710	981.28172	-15.91675
72000	945.56868	-268.60528	982.97962	-15.85812
73000	942.18663	-266.27118	979.08937	-15.78081
74000	968.16607	-269.72865	1005.03686	-15.56770
75000	950.95328	-262.28308	986.46062	-15.41943
76000	944.19031	-259.98139	979.32919	-15.39481
77000	952.61380	-259.11536	987.22531	-15.21657
78000	956.17012	-256.92885	990.08774	-15.04046
79000	966.20829	-259.44910	1000.43605	-15.03067
80000	949.59043	-252.97318	982.70922	-14.91728
81000	952.16497	-250.60381	984.59148	-14.74548
82000	939.90076	-247.49527	971.93999	-14.75228
83000	948.05513	-247.88686	979.92674	-14.65302
84000	953.44582	-246.58249	984.81565	-14.50026
85000	946.06917	-242.80538	976.72991	-14.39410
86000	970.19415	-249.13621	1001.67137	-14.40181
87000	947.75931	-241.14619	977.95664	-14.27533
88000	947.10852	-238.92222	976.77960	-14.15831
89000	972.32506	-245.13546	1002.74993	-14.15011
90000	970.97936	-243.32015	1001.00231	-14.06819
91000	941.32850	-234.31985	970.05419	-13.97824
92000	947.20669	-235.03061	975.93027	-13.93537
93000	945.12890	-233.51842	973.54995	-13.87844
94000	941.46871	-232.69872	969.80000	-13.88330
95000	947.37241	-232.24444	975.42399	-13.77418
96000	944.15956	-229.92657	971.75280	-13.68655
97000	947.86333	-229.16942	975.17358	-13.59184
98000	953.78755	-229.39577	980.98579	-13.52338
99000	943.59523	-226.39702	970.37497	-13.49195
100000	951.03450	-227.41930	977.84772	-13.44850
