n	RL	XL	|ZL|	Phi
1000	1456.72191	-15398.16762	15466.91969	-84.59570
2000	1090.28271	-7277.15586	7358.37712	-81.47917
3000	1060.78913	-5216.82901	5323.58699	-78.50619
4000	983.22687	-3688.09869	3816.91066	-75.07244
5000	952.85270	-2939.62015	3090.19334	-72.04034
6000	997.21796	-2615.99152	2799.61699	-69.13312
7000	936.01058	-2113.23962	2311.25453	-66.11016
8000	989.40021	-1972.54804	2206.77559	-63.36235
9000	982.58892	-1755.20380	2011.52215	-60.75926
10000	977.81225	-1579.11999	1857.34669	-58.23365
11000	992.61459	-1456.90275	1762.90934	-55.73268
12000	970.85868	-1318.94301	1637.73540	-53.64365
13000	899.37191	-1124.01872	1439.54434	-51.33531
14000	915.29174	-1070.48865	1408.44060	-49.46882
15000	920.65283	-1005.71390	1363.47427	-47.52832
16000	904.46062	-931.69736	1298.50259	-45.84984
17000	956.54865	-928.75791	1333.25788	-44.15548
18000	960.57533	-887.04571	1307.49955	-42.72101
19000	909.40536	-793.40116	1206.85687	-41.10273
20000	902.47392	-755.65898	1177.06400	-39.94009
