n	RL	XL	|ZL|	Phi
1000	1411.11790	-15493.49071	15557.61897	-84.79597
2000	1114.09430	-7603.04002	7684.23215	-81.66362
3000	1060.95503	-5227.04070	5333.62729	-78.52630
4000	1011.85975	-3838.19905	3969.33648	-75.23121
5000	1015.21801	-3147.03712	3306.73710	-72.12057
6000	986.73511	-2573.34873	2756.04243	-69.02098
7000	980.65819	-2210.43339	2418.20310	-66.07555
8000	999.33658	-1987.82416	2224.88618	-63.31000
9000	973.54128	-1730.47006	1985.52493	-60.63843
10000	967.51919	-1554.48984	1830.99209	-58.10174
11000	989.24536	-1444.20076	1750.52056	-55.58973
12000	989.72124	-1336.84088	1663.33751	-53.48585
13000	985.68949	-1228.49612	1575.05126	-51.25803
14000	964.98158	-1124.62454	1481.88049	-49.36883
15000	966.63135	-1049.56161	1426.86920	-47.35537
16000	958.80403	-984.13575	1373.98266	-45.74697
17000	978.83490	-944.76626	1360.40473	-43.98535
18000	954.68816	-875.25633	1295.18459	-42.51454
19000	978.74008	-851.07101	1297.01735	-41.00884
20000	961.72977	-797.82733	1249.58097	-39.67826
